unit,sex,age,nace_r2,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
PC,F,Y15-64,A,AT	: u	: c	: u	: u	: c	: u	: c	: u	: u	: u	: bu
PC,F,Y15-64,A,BE	: u	: bu	: u	: c	: u	: c	: u	: u	: u	: c	: bc
PC,F,Y15-64,A,BG	7.1 u	: u	: u	: u	: u	: u	: u	: bu	: bu	: u	: bu
PC,F,Y15-64,A,CH	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: c	: bc
PC,F,Y15-64,A,CY	: 	: 	: 	: 	: c	: c	: c	: 	: 	: bc	: bc
PC,F,Y15-64,A,CZ	: u	: c	: u	: u	: u	: u	: u	: bu	: u	: u	: bu
PC,F,Y15-64,A,DE	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu
PC,F,Y15-64,A,DK	: c	: bc	: bu	: u	: c	: u	: u	: u	: u	: c	: bc
PC,F,Y15-64,A,EA19	11.9 	11.1 	10.9 	11.6 	12.0 	12.2 	12.4 	11.1 	10.0 	10.9 	10.8 b
PC,F,Y15-64,A,EE	: u	: c	: c	: 	: c	: u	: u	: u	: c	: c	: bc
PC,F,Y15-64,A,EL	12.9 u	: u	: u	14.8 u	: u	17.0 u	21.1 u	12.9 u	17.2 u	11.8 bu	15.6 bu
PC,F,Y15-64,A,ES	13.8 	14.2 	14.1 	17.7 	19.7 	17.8 	16.8 	17.2 	13.6 	17.4 b	17.7 b
PC,F,Y15-64,A,EU15	11.3 	10.7 	10.6 	11.3 	11.5 	11.8 	12.1 	10.9 	9.9 	10.9 	10.6 b
PC,F,Y15-64,A,EU27_2020	10.3 	10.1 	10.0 	10.8 	10.4 	10.7 	11.2 	10.2 	9.1 	9.7 	9.6 b
PC,F,Y15-64,A,EU28	9.7 	9.5 	9.5 	10.1 	9.8 	10.1 	10.7 	9.8 	8.8 	9.3 	9.1 b
